water,area,prod,city,name,visited,Rank
92338000.0,79971.15326299384,1238614.1983215604,Dakahlia,vegetables,0,10
22397000.0,16974.0,271179.0,Sohag,vegetables,0,11
45483000.0,33595.90608274682,520342.20567910385,Alexandria,vegetables,0,12
6128000.0,3958.0,34749.55,Suez,vegetables,0,13
57577000.0,33595.90608274682,520342.20567910385,Quliubiya,vegetables,0,14
155645000.0,79971.15326299384,1238614.1983215604,Behaira,vegetables,0,15
108895000.0,33595.90608274682,520342.20567910385,Monoufia,vegetables,0,16
6996000.0,888.0,154499.0,Luxor,vegetables,0,17
108473000.0,12137.0,615484.0,Giza,vegetables,0,18
46633000.0,2085.940654259328,32307.595999335776,Gharbia,vegetables,0,19
25721000.0,751.91,130834.0,Fayoum,vegetables,0,20
79336000.0,2085.940654259328,32307.595999335776,Ismailia,vegetables,0,21
101065000.0,2085.940654259328,32307.595999335776,Sharkia,vegetables,0,22
364000.0,2999.0,7872.0,Aswan,Medical and Aromatic plants,0,1
114000.0,299.0,382.0,Qena,Medical and Aromatic plants,0,2
148000.0,364.0,353.0,Dakahlia,Medical and Aromatic plants,0,3
12950000.0,13816.0,25573.0,Minya,Medical and Aromatic plants,0,4
104000.0,83.0,65.0,Port said,Medical and Aromatic plants,0,5
8545000.0,6670.0,4179.0,Kafr el sheikh,Medical and Aromatic plants,0,6
177000.0,138.0,162.0,Damietta,Medical and Aromatic plants,0,7
1030000.0,801.0,718.0,Monoufia,Medical and Aromatic plants,0,8
104000.0,75.0,51.0,Sharkia,Medical and Aromatic plants,0,9
2890000.0,2007.0,4754.0,Gharbia,Medical and Aromatic plants,0,10
301000.0,207.0,1410.0,Quliubiya,Medical and Aromatic plants,0,11
15462000.0,8640.0,124873.0,Beni sweif,Medical and Aromatic plants,0,12
33726000.0,17889.0,100532.0,Fayoum,Medical and Aromatic plants,0,13
5468000.0,2667.0,28898.0,Assuit,Medical and Aromatic plants,0,14
3933000.0,1755.0,2367.0,Behaira,Medical and Aromatic plants,0,15
856000.0,323.0,540.0,Giza,Medical and Aromatic plants,0,16
0,0,0.0,Alexandria,Medical and Aromatic plants,0,17
0,0,0.0,Cairo,Medical and Aromatic plants,0,18
0,0,0.0,Ismailia,Medical and Aromatic plants,0,19
0,0,0.0,Luxor,Medical and Aromatic plants,0,20
0,0,0.0,Sohag,Medical and Aromatic plants,0,21
0,0,0.0,Suez,Medical and Aromatic plants,0,22
290000.0,1759.0,1626.0,Aswan,fully grown Beans,0,1
1158000.0,4359.0,5258.0,Alexandria,fully grown Beans,0,2
810000.0,824.0,888.0,Suez,fully grown Beans,0,3
10637000.0,9643.0,11938.0,Sharkia,fully grown Beans,0,4
12027000.0,9775.0,13613.0,Behaira,fully grown Beans,0,5
1456000.0,967.0,1210.0,Sohag,fully grown Beans,0,6
12340000.0,7156.0,11934.0,Dakahlia,fully grown Beans,0,7
597000.0,342.0,983.0,Luxor,fully grown Beans,0,8
634000.0,327.0,342.0,Qena,fully grown Beans,0,9
179000.0,91.0,47.0,Monoufia,fully grown Beans,0,10
16641000.0,8139.0,9962.0,Kafr el sheikh,fully grown Beans,0,11
1188000.0,550.0,783.0,Minya,fully grown Beans,0,12
854999.9999999999,367.0,363.0,Fayoum,fully grown Beans,0,13
217000.0,92.0,113.0,Beni sweif,fully grown Beans,0,14
6848000.0,2721.0,3358.0,Assuit,fully grown Beans,0,15
248000.0,90.0,91.0,Port said,fully grown Beans,0,16
1121000.0,384.0,476.0,Giza,fully grown Beans,0,17
6007000.0,1319.0,1983.0,Damietta,fully grown Beans,0,18
3492000.0,733.0,901.0,Gharbia,fully grown Beans,0,19
1377000.0,139.0,166.0,Ismailia,fully grown Beans,0,20
0,0,0.0,Cairo,fully grown Beans,0,21
0,0,0.0,Quliubiya,fully grown Beans,0,22
180000.0,201.0,201.0,Damietta,lentils,0,1
957000.0,1066.0,1123.0,Dakahlia,lentils,0,2
178000.0,198.0,193.0,Sharkia,lentils,0,3
2000.0,2.0,3.0,Ismailia,lentils,0,4
16000.0,9.0,6.0,Qena,lentils,0,5
152000.0,85.0,59.0,Assuit,lentils,0,6
0,0,0.0,Alexandria,lentils,0,7
0,0,0.0,Aswan,lentils,0,8
0,0,0.0,Behaira,lentils,0,9
0,0,0.0,Beni sweif,lentils,0,10
0,0,0.0,Cairo,lentils,0,11
0,0,0.0,Fayoum,lentils,0,12
0,0,0.0,Gharbia,lentils,0,13
0,0,0.0,Giza,lentils,0,14
0,0,0.0,Kafr el sheikh,lentils,0,15
